density,density_atomic,formation_energy_per_atom,energy_above_hull,band_gap
3.228068789,12.32324284,-2.765152718,0.055095246,3.2461
3.271553963,11.44045929,-2.455247463,0.00866566,0.5301
3.072508792,11.25068362,-2.886407887,0.032271486,3.6804
2.859203009,13.43317048,-2.744897482,0.090036237,3.6761
2.903599182,13.22777665,-2.825005161,0.009928558,3.2942
3.328775143,10.27113387,-2.916305208,0.011709363,3.66
3.045241252,12.61251844,-2.773857146,0.061076573,3.8705
3.162735934,10.01018612,-2.983863083,0,3.9858
2.918817019,10.84671466,-2.941381353,0.04248173,3.7638
2.416433778,15.89456405,-2.72966517,0.10526855,4.312
2.734528026,16.25690253,-1.029232964,0.175430679,0
2.693141897,14.26146966,-2.757153507,0.077780213,3.5533
2.996184615,10.56663037,-2.895446594,0.088416489,3.8366
2.882409941,10.9837171,-2.955533581,0.028329502,4.0755
2.911384386,10.87440583,-2.95847008,0.025393003,4.0091
6.148507995,12.39698312,-0.216248686,0.221459163,0
2.912470105,15.26366073,-0.968735644,0.235927999,0
3.644613267,14.45619609,-0.960133297,0.11034488,0
3.651644071,9.251704804,-1.82534024,0.054660056,2.9202
4.360258793,9.024341834,-1.870063351,0.074873397,1.672
3.418897651,11.63540991,-2.607350593,0.212897372,3.5665
3.65308096,10.88951382,-2.405692321,0.414555644,4.3867
1.865083782,18.02994351,-1.267396974,0.104476309,0
4.072462085,9.662082792,-1.90616955,0.038767198,1.7861
2.110850251,16.14465135,-1.141556682,0.225908248,0
1.992475927,20.99430114,0.136482424,0.148822734,0
3.694773416,11.50429395,-0.267661366,0.190706033,0
3.151186193,12.18847732,-2.758354506,0.076579214,3.4049
2.678561989,12.76442183,-2.83445283,0.093561742,3.7284
3.224788286,10.77924097,-0.311405093,0.097707252,0
5.376219054,14.17779839,0.087834298,0.525542147,0
3.44961699,11.5317949,-2.764140962,0.056107003,3.6062
3.225930082,12.33141283,-2.737899111,0.082348853,3.1318
3.101278255,12.82705785,-2.629018183,0.191229781,3.0341
3.070196774,12.95691401,-2.747647942,0.072600023,3.4609
3.864278746,8.431383386,-1.87716736,0.000791912,0.0652
2.710239313,10.04858069,-1.874669577,0.069127843,0.3043
2.67845185,8.570746813,-1.964386226,0.029306552,0.3347
4.143655143,9.496076404,-1.917560836,0.027375911,1.4741
3.242142409,12.26974962,-2.776358359,0.043889606,0
3.52599415,10.89286023,-2.75711314,0.07782058,3.5757
3.101551755,12.82592674,-2.735659037,0.084588927,3.1951
3.029726576,11.28494413,-2.905452693,0.022561879,3.8478
2.683678811,14.31175791,-2.761481392,0.073452327,2.7755
3.11394394,12.77488496,-2.743286696,0.076961269,2.624
2.608515727,14.7241441,-2.737984551,0.096949168,4.1232
3.494947167,11.38222517,-2.752761169,0.067486795,2.2238
3.65310474,10.88944293,-2.784328236,0.035919729,3.7202
3.619973631,8.065691491,-1.80451671,0.016495304,0.3321
3.414350063,10.77578389,-1.249979174,0.314812976,0
2.301738042,18.32981092,-1.903313035,0.038662376,0.6533
8.754887431,12.73619493,-0.121665891,0,0
8.51497968,13.43772264,-0.242395083,0.012542316,0
3.647597267,14.44436987,-0.908704959,0.161773218,0
4.363244694,9.018166202,-1.943657716,0.001279032,1.6818
1.999289558,17.29005396,-2.853073662,0.065605711,3.2266
2.807636769,10.53316429,-1.894174369,0.120111663,0
3.118869283,12.31477114,-2.753551468,0.081382251,0
3.201139337,9.890095997,-2.981191258,0.002671825,4.0832
2.997378404,11.53268613,-2.850446507,0.068232866,3.7731
3.094972997,11.0470415,-2.835483787,0.092530785,3.7079
3.081223916,11.21886149,-2.863927221,0.054752152,3.7392
3.021650121,11.44004863,-2.867501475,0.051177898,3.7933
2.334589506,9.833134518,-1.968938306,0.024754471,0
3.39966083,11.70124833,-2.797327264,0.022920701,3.467
2.131639789,20.31388111,0.166610765,0.191291387,0
1.950713327,21.44376575,0.099301425,0.111641736,0
2.170629577,19.94899438,0.162963006,0.187643627,0
3.334652401,8.755812301,-1.763430784,0.05758123,0
3.283862675,12.11386697,-2.751101365,0.0691466,3.2093
3.100180297,11.15026257,-2.89003743,0.028641943,3.8285
3.233876754,9.028665203,-1.752630703,0.068381311,0.1879
2.337936405,14.57650485,-1.208168565,0.159296365,0
2.16573029,16.77690684,-1.157079741,0.172991132,0
3.628809133,8.978486998,-1.877959273,0,0.0914
3.019521271,11.22583955,-2.626325134,0.005756367,0.1785
3.651900679,8.921714605,-1.811094162,0.06686511,0
3.719124625,9.892730715,-1.416347921,0.148444229,0
3.090080819,11.18670558,-2.892752866,0.025926507,3.8492
2.873247908,11.89952842,-2.836832368,0.091182204,3.2629
3.452897814,11.52083778,-2.791872647,0.028375317,3.6432
3.396480508,11.71220488,-2.786792215,0.033455749,0.0069
2.61128271,14.33321631,-2.355718761,0.108194362,0.8691
2.580157803,9.946381078,-1.972681357,0.069344388,2.8482
1.99016495,18.25690645,-1.266473599,0.063597274,0
4.365992908,9.012489635,-1.944936748,0,1.7125
2.977654465,13.35960101,-2.769618445,0.050629519,3.4207
3.361891481,11.42456908,-2.350299511,0.484634209,3.172
3.609280235,10.64150161,-2.814879956,0.020053763,3.1825
3.288924593,11.67803042,-2.796616109,0.03831761,3.7397
3.769939099,10.18800581,-2.816451553,0.018482166,3.6116
1.934181355,19.29573237,-1.144967309,0.171622219,0.8322
2.730172537,9.39985748,-2.042025745,0,3.0845
2.947370062,10.7458573,-2.860132304,0.113231185,4.8595
2.311517928,16.61599116,-2.726254751,0.108678968,4.2464
1.991413123,18.24546343,-1.263264439,0.066806433,0.7011
2.075891297,17.50296625,-1.229601096,0.100469777,0
3.126599197,12.72317719,-2.781063693,0.039184272,3.4099
2.497500164,10.27556799,-1.953934428,0.088091317,3.1281
3.29302743,11.94902462,-1.864610831,0.080325917,1.9032
3.81006875,11.156166,-0.458367399,0,0
3.351239793,11.87031608,-2.738287178,0.081960786,3.3554
3.531078083,11.26575926,-2.780765855,0.03948211,3.5148
3.284879166,12.11011839,-2.724690803,0.095557162,3.468
3.654106031,10.88645903,-2.756910237,0.063337727,3.5185
2.826400221,10.46323841,-1.968577607,0.045708424,2.0511
2.457638637,15.22928528,-2.363809554,0.10010357,1.2392
2.809494896,12.16955232,-2.872009981,0.05600459,3.6053
2.73082239,11.59797803,-2.920922299,0.05244119,1.644
2.656405035,14.0897489,-2.404796602,0.059116522,1.1219
3.103042895,11.01831212,-2.836848516,0.091166055,3.6763
2.940907506,13.0599692,-2.782572269,0.052361451,3.2528
3.02563408,12.69425199,-2.799291692,0.035642027,3.2501
2.797204431,13.7309097,-2.744984278,0.089949441,2.5711
2.654225916,14.10131658,-2.352972331,0.110940792,0.4446
3.445741065,10.03204353,-2.844518508,0.074160865,3.732
3.103984486,12.81587449,-2.753078433,0.067169532,3.4736
2.879686625,13.33761845,-2.754042902,0.080890817,2.9288
2.91209144,10.33401449,-2.721069982,0.074911948,0
2.900263197,13.2429917,-2.726610601,0.108323118,0
3.965978278,13.08561106,-0.560991776,0.090980308,0
3.297781586,12.06273811,-2.751244247,0.069003717,3.4694
2.81515701,12.14507575,-2.904810168,0.023204404,3.4917
3.497173624,9.884503331,-2.854885958,0.063793415,3.7429
2.952911192,13.00687997,-2.765323089,0.069610631,3.1653
3.876245026,10.26258024,-2.732478941,0.087769024,3.5861
2.845279293,13.49890731,-2.723598745,0.111334975,4.0934
2.94462882,11.73928072,-2.815511636,0.103167737,3.6484
0.181167606,158.2600705,-0.146006534,1.3263254,0
3.283834912,12.11396939,-2.25307042,0.567177545,4.2544
3.91359848,23.59973692,-1.361769471,0.028742054,0
2.852443971,10.3677056,-1.936257487,0.078028544,1.5152
3.117488409,11.08835697,-2.820715318,0.097964055,3.5068
3.3618334,8.685020059,-1.763693321,0.057318692,0
3.614362335,10.62653876,-2.814239714,0.020694006,3.1792
2.719788142,10.57704595,-2.992769315,0.042777999,3.8679
3.158166897,12.16153633,-2.774180773,0.060752946,3.1587
1.016450171,184.9937739,1.843561132,2.263280623,0.7613
2.550558685,17.42949724,-0.941202924,0.263460719,0.0104
2.191287956,16.58123261,-1.15735149,0.172719383,0
3.348351615,8.719989377,-1.759725003,0.061287011,0
1.994337029,13.27711939,-0.193512918,0.274044048,0
3.149715646,10.72602634,-1.877975758,0.002024538,1.8966
2.973401861,14.95087366,-1.024753842,0.179909801,0
3.169222686,9.141440003,-0.513993482,0,0
2.482288442,20.21572212,-1.682466592,0.03255074,0.2667
3.790928892,24.36339409,-1.360354028,0.030157497,0.1126
4.25945458,9.237911825,-1.867385261,0.077551486,0.3056
3.107345765,10.19262756,-2.871942848,0.101420641,4.3163
3.483427483,10.56209684,-1.433588804,0.131203345,0.3066
2.425680853,14.25077182,-2.828029668,0.090649705,3.6286
3.303672507,12.04122851,-2.718953214,0.10129475,3.2462
3.360243976,11.83850812,-2.72765878,0.092589184,3.162
3.321705869,11.56278219,-2.741396795,0.093536925,3.611
3.49690183,11.37586284,-2.711850362,0.108397603,3.1492
2.998077716,12.48402592,-2.409764326,0.054148797,0.4248
2.595602386,10.52447874,-1.907044624,0.052343236,2.6567
3.515258572,11.31645789,-2.79627245,0.023975515,3.5869
3.420546649,10.10593565,-2.899430526,0.019248847,3.5941
2.566203127,13.925713,-2.410671047,0.115088332,1.8744
2.57442094,13.88126071,-2.421182263,0.104577116,2.0137
2.314876979,14.90065194,-2.304659041,0.110836637,0.0059
3.895173554,10.82363185,-2.119073801,0.106112907,1.6312
3.021475447,11.82740316,-2.447517349,0.07824203,1.6172
3.940292245,9.954631646,-2.308756005,0.074186732,1.3631
4.249277757,16.99605466,-2.059033434,0.14117983,3.5503
3.884032916,9.704473177,-2.568293105,0.038552544,1.2212
3.902359752,9.6588976,-2.570141974,0.036703675,1.5225
5.617325234,10.33345334,-1.98567131,0.087760717,0.0854
3.908953566,9.642604499,-2.564605718,0.042239931,1.2736
3.907810552,9.645424911,-2.565969026,0.040876623,1.6269
4.71227475,10.33630233,-1.704929865,0.087570432,0
2.608633784,10.65208451,-1.047335311,1.222611134,0.0798
2.506516002,13.34341164,-0.375002328,2.492363353,0.0644
2.488510964,9.838904731,-1.636641866,0.726164493,0.0079
3.599691976,10.77433388,-1.414708605,1.143563901,0.0751
3.028183133,12.9530336,-2.321789164,0.061153574,1.3456
4.205578452,10.17937853,-1.576643998,0.092707935,0.9612
4.215010267,10.20173328,-1.977609323,0.033750797,0.3501
3.41875415,10.94643801,-2.414143959,0.065752056,3.7629
4.265107892,10.03730178,-1.551758108,0.117593825,0
2.959257711,11.39430143,-2.527719635,0.047157999,4.0783
2.948668925,12.11943733,-2.490929492,0.034829887,2.5998
2.846853113,12.55288096,-2.488293461,0.037465918,2.2582
2.663463232,11.74623941,-2.30697827,0.102043411,0.0279
2.671229525,12.45945917,-2.348645295,0.083441398,0
2.89949296,11.62916235,-2.544903502,0.029974132,2.9154
2.334707377,14.77408968,-2.295436197,0.120059481,0
2.577305381,10.43144259,-2.460064926,0.025683683,2.4662
3.337298487,10.35362686,-1.711596781,0.099694491,2.003
3.119632558,10.76617147,-2.531971907,0.031294527,3.0614
2.199866324,16.22546399,-2.727575415,0.038207374,3.0737
3.754219349,10.73724653,-1.674998191,0.120480824,0.9578
2.608634247,10.65208262,-2.168917667,0.101028778,2.5939
2.576539701,9.038607137,-2.14364658,0.051991218,2.7157
2.582803289,9.341985446,-2.083389493,0.0630472,0.7192
4.202969276,9.171982281,-2.163455923,0.013721376,1.9918
5.537706894,11.33023763,-1.969987436,0.055221447,0
4.69154717,11.33123477,-2.740092478,0.051236355,0
2.571491951,9.760073284,-2.004531053,0.081933027,0
2.743720192,11.52547563,-2.49272036,0.088374299,2.2422
2.635587499,12.1107877,-2.578374429,0.052546146,4.6312
2.407562109,13.77683833,-2.361447894,0.096962814,0
4.490486423,10.15831545,-1.427536637,0.033240462,0.0049
2.316510427,10.41588695,-2.094607326,0.051829367,0.2303
3.974810868,9.203952667,-2.185640795,0.067666478,2.4054
4.553957718,9.754592972,-1.560442674,0.002984952,0.2844
4.645629795,8.718361776,-1.721980787,0.043606682,0.1526
4.296403584,9.520079402,-1.974833332,0.097502476,0.4848
2.278565858,11.01480117,-1.994101631,0.092362449,0
4.236946869,9.00415036,-2.268915779,0.024302285,1.7827
3.954657465,9.531165109,-2.528428141,0.078417508,0.0947
3.925782218,10.68668013,-2.063730395,0.10032545,0
2.553720758,13.09676271,-2.792737102,0.074628579,3.1557
2.761497026,12.77356696,-1.94967671,0.020576667,2.0567
2.356538814,15.88057034,-2.429208738,0.050687277,3.4288
3.251221217,10.97859833,-2.721304809,0.044477979,2.6008
4.531919014,9.783201687,-1.32606668,0.021206548,0.08
3.520675015,9.490000963,-2.249467465,0.102076331,2.0577
6.428085141,10.68333751,-2.209880723,0.043587492,1.555
3.965296096,10.58018816,-2.117409557,0.046646288,0.1019
5.067920611,10.78649405,-1.775324021,0.070457987,0
3.16920872,10.61850648,-2.281723836,0.050416781,2.7377
3.599692498,10.77433232,-2.454990888,0.103281619,1.8972
3.352008893,11.57045952,-2.473154601,0.085117905,1.7349
3.031513239,11.78824087,-2.443021314,0.082738065,1.4647
3.599691976,10.77433388,-0.984883674,1.573388832,0
3.072934661,11.62934204,-2.433634912,0.092124468,1.2947
2.608633784,10.65208451,0.86963919,3.139585635,0
2.997374053,11.92250537,-2.452028898,0.073730482,1.7432
3.017869133,11.84153675,-2.44607801,0.07968137,1.4159
3.028593639,11.79960487,-2.447466697,0.078292683,1.7515
3.02597578,11.80981305,-2.443512596,0.082246784,1.5473
3.057827137,11.68679806,-2.439202549,0.08655683,1.4128
2.750427427,12.82497652,-1.942004255,0.028249122,2.0753
2.488510623,9.838906081,-2.267568785,0.095237574,2.6388
2.488510964,9.838904731,-0.869733219,1.49307314,0
2.506514093,13.3434218,2.671253122,5.538618803,0
2.481579533,13.47749462,-2.789124816,0.078240865,3.4226
4.033699502,9.502606515,-2.199489731,0.045708,1.1175
4.030513135,10.07153555,-2.224000873,0.099137768,1.4748
4.048729953,9.861131961,-2.175099669,0.064433345,0
